Drainage	Basin	State	Stream	Stretch	Region	Data	Largura-m	ProfMedia-m	ProfMaxima-m	LAT	LONG	Order	Family	Species	Espécie_abreviada	Osf	Ops	Eps	Bsh	Bsf	PFps	PFar	CPt	CFar	Frt	Fsf
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Siluriformes	Callichthyidae	Callichthys_callichthys	Callcall	0.122	0.316	0.806	0.932	5.038	0.223	2.054	1.74	1.187	0.587	2.662
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Characiformes	Erythrinidae	Hoplias_malabaricus	Hoplmala	0.492	0.524	0.758	1.435	1.669	0.19	2.484	1.454	1.166	0.678	2.048
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Characiformes	Erythrinidae	Hoplerythrinus_unitaeniatus	Hopunit	0.465	0.511	0.726	1.325	1.798	0.184	2.549	1.477	1.066	0.638	1.804
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Cyprinodontiformes	Cynolebiidae	Anablepsoides_micropus	Anamicr	0.296	0.742	0.609	1.162	6.492	0.445	2.851	1.849	0.936	0.451	3.512
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Cyprinodontiformes	Cynolebiidae	Cynolebiidae_sp._liso	Cynogenliso	0.296	0.743	0.61	1.162	6.492	0.445	2.851	1.849	0.936	0.451	3.512
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Characiformes	Crenuchidae	Microcharacidium_eleotrioides	Miceleo	0.2	0.313	0.664	1.433	24.672	0.117	5.674	1.395	0.87	0.618	3.058
Rio_Negro	Negro	Amazonas	AIU-2	50m	Médio_Rio_Negro	01/04/2012	1.425	0.16	0.353	-0.589306	-64.91275	Characiformes	Characidae	Hemigrammus_vorderwinkleri	Hemvord	0.275	0.548	0.595	2.257	13.93	0.108	6.513	2.535	1.691	0.354	1.582
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Gymnotiformes	Gymnotidae	Gymnotus_coropinae	Gymncoro	0.204	0.768	0.709	1.831	3.544	0.371	2.168	0	0	0	0.489
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Characiformes	Erythrinidae	Erythrinus_erythrinus	Eryteryt	0.412	0.516	0.673	1.205	2.323	0.217	2.33	1.314	1.082	0.644	2.188
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Characiformes	Erythrinidae	Hoplias_malabaricus	Hoplmala	0.492	0.524	0.758	1.435	1.669	0.19	2.484	1.454	1.166	0.678	2.048
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Characiformes	Erythrinidae	Hoplerythrinus_unitaeniatus	Hopunit	0.465	0.511	0.726	1.325	1.798	0.184	2.549	1.477	1.066	0.638	1.804
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Gymnotiformes	Hypopomidae	Brachyhypopomus_sp._anal_preta	Braanpr	0.093	0.423	0.72	2.548	3.75	0.389	2.69	0	0	0	0.6
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Cichliformes	Cichlidae	Apistogramma_brevis	Apicaet	0.192	0.396	0.747	2.247	4.051	0.375	2.776	1.378	0.712	1.032	2.422
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Cichliformes	Cichlidae	Aequidens_pallidus	Aequpall	0.126	0.335	0.688	2.597	2.909	0.377	3.159	1.468	0.822	1.099	2.2
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Cichliformes	Cichlidae	Apistogramma_mendezi	Apimend	0.211	0.37	0.696	2.178	8.923	0.386	3.355	1.577	0.804	0.8	3.015
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Siluriformes	Heptapteridae	Phreatobius_sp.n	Phrspn	0.253	0.582	1	0.871	47.985	0.228	3.52	1.07	1.012	0.791	1.459
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Characiformes	Lebiasinidae	Pyrrhulina_aff._brevis	Pyraffbrev	0.264	0.768	0.631	1.761	4.804	0.206	4.045	1.711	0.999	0.46	2.686
Rio_Negro	Negro	Amazonas	AIU-4	50m	Médio_Rio_Negro	02/04/2012	1.883	0.223	0.343	-0.57939	-64.907499	Characiformes	Crenuchidae	Crenuchus_spilurus	Crenspil	0.461	0.479	0.652	2.144	6.095	0.147	4.692	2.15	1.625	0.275	1.632
