"Comp.1" "Comp.2"
"Acanthodoras_cataphractus" -2.01532615487953 0.159478154133743
"Acaronia_nassa" -0.895780694972395 0.0714738914645837
"Acestridium_discus" -1.96620205402432 -4.27878776624733
"Acestridium_gymnogaster" -1.24043685123496 -2.92636205883029
"Acestridium_martini" -2.31450530934916 -3.36657989538534
"Acestrorhynchus_falcatus" 1.72503487018156 -1.28521259065967
"Aequidens_cf._mauesanus" -0.972217929923393 -0.00806147283146028
"Aequidens_cf._rondoni" -0.985713093391128 0.16935846084668
"Aequidens_epae" -0.981776822818712 0.169547115749971
"Aequidens_pallidus" -0.736031735817748 0.265069631325749
"Aequidens_sp._mancha_subocular" -0.488498230086472 0.0914626965041438
"Aequidens_tetramerus" -1.031860654288 -0.0977531808983886
"Amazonspinther_dalmata" 0.8321628638805 0.0561010210904239
"Ammocryptocharax_elegans" -0.556814516411755 -0.924756539580161
"Ammocryptocharax_minutus" -0.106364843791745 -0.899943183161381
"Ammoglanis_cf._pulex" -1.57851432161113 0.769793272691675
"Anablepsoides_cf._urophthalmus" -0.408358862266903 1.20816591447091
"Anablepsoides_micropus" -0.554203910750192 0.814219320940293
"Anablepsoides_ornatus" -1.12204216240693 1.31210178263905
"Ancistrus_aff._hoplogenys" -2.47142605592955 -2.02622838252097
"Ancistrus_sp._bola" -2.28477846511302 -2.21373786245964
"Ancistrus_sp._bolas_brancas" -2.39973740137671 -2.15540750980421
"Ancistrus_sp._cinza" -2.1316821727237 -1.94124590296763
"Ancistrus_sp._dois_bigodes" -2.27822609477926 -2.35010461932266
"Ancistrus_sp._dorsal_listrada" -2.03381753284213 -2.19160366560246
"Ancistrus_sp._maraca" -2.15759550008583 -2.07937354855939
"Ancistrus_sp._pintinhas" -2.149722958941 -2.07899623875281
"Ancistrus_sp._tigrado" -1.8915112746428 -1.55060551377324
"Apistogramma_aff._cruzi" -1.19395446251138 0.448522791327131
"Apistogramma_aff._gossei" -0.657288540596595 0.298983127180807
"Apistogramma_aff._juruensis" -0.956462298760974 0.384627463224935
"Apistogramma_aff._regani" -1.36698171145902 -0.0108820797958797
"Apistogramma_agassizii" -0.961407439333689 0.575209918221767
"Apistogramma_brevis" -1.19882361029325 0.457294572413593
"Apistogramma_caetei" -1.19882361029325 0.457294572413593
"Apistogramma_cf._erythrura" -0.936060434274879 0.562851968407359
"Apistogramma_cf._personata" -1.19001819193896 0.448711446230422
"Apistogramma_gephyra" -1.11423359623401 0.736275104308041
"Apistogramma_hippolytae" -1.03515342758379 0.33790446999185
"Apistogramma_mendezi" -0.925508478058761 0.28786952041804
"Apistogramma_pertensis" -1.31570629165727 0.54300702402731
"Apistogramma_regani" -1.37091798203144 -0.0110707346991714
"Apistogramma_regani_mancha_oval" -0.849873265448927 0.427312038257192
"Apistogramma_rupununi" -0.804794308014338 0.472725427405041
"Apistogramma_sp._base_da_dorsal_preta" -0.983437321894185 0.412172461452815
"Apistogramma_sp._frodoi" -0.908368014698915 1.05522434914466
"Apistogramma_sp._humeral_dupla" -0.801172419915414 0.48868539556456
"Apistogramma_sp._tracejado" -0.480110345354705 0.565862744423989
"Apistogramma_sp._vielfleck" -0.408163425370637 0.367449474761286
"Apistogramma_steindachneri" -1.18818785996264 -0.121217744934123
"Apistogramma_taeniata" -0.819156488217133 0.250708134924952
"Apteronotus_albifrons" -0.741557612911749 3.11317839090673
"Aspidoras_cf._poecilus" -1.43433269057204 -0.502107183691977
"Astyanax_aff._goyacensis" 1.8058146157789 -0.359865326132878
"Astyanax_aff._maximus" 2.29296664822004 -0.643214022876365
"Astyanax_aff._microlepis" 2.45275661918686 -0.492134001087041
